"Date (TU)","Valeur (en m³/s)","Statut","Qualification","Méthode","Continuité"
2024-12-11T00:00:00.000Z,"284","16",20,8,0
2024-12-11T01:00:00.000Z,"279","16",20,8,0
2024-12-11T02:00:00.000Z,"274","16",20,8,0
2024-12-11T03:00:00.000Z,"269","16",20,8,0
2024-12-11T04:00:00.000Z,"265","16",20,8,0
2024-12-11T05:00:00.000Z,"261","16",20,8,0
2024-12-11T06:00:00.000Z,"257","16",20,8,0
2024-12-11T07:00:00.000Z,"254","16",20,8,0
2024-12-11T08:00:00.000Z,"250","16",20,8,0
2024-12-11T09:00:00.000Z,"248","16",20,8,0
2024-12-11T10:00:00.000Z,"245","16",20,8,0
2024-12-11T11:00:00.000Z,"243","16",20,8,0
2024-12-11T12:00:00.000Z,"241","16",20,8,0
2024-12-11T13:00:00.000Z,"241","16",20,8,0
2024-12-11T14:00:00.000Z,"240","16",20,8,0
2024-12-11T15:00:00.000Z,"240","16",20,8,0
2024-12-11T16:00:00.000Z,"240","16",20,8,0
2024-12-11T17:00:00.000Z,"239","16",20,8,0
2024-12-11T18:00:00.000Z,"238","16",20,8,0
2024-12-11T19:00:00.000Z,"237","16",20,8,0
2024-12-11T20:00:00.000Z,"236","16",20,8,0
2024-12-11T21:00:00.000Z,"234","16",20,8,0
2024-12-11T22:00:00.000Z,"232","16",20,8,0
2024-12-11T23:00:00.000Z,"231","16",20,8,0
2024-12-12T00:00:00.000Z,"229","16",20,8,0
2024-12-12T01:00:00.000Z,"228","16",20,8,0
2024-12-12T02:00:00.000Z,"227","16",20,8,0
2024-12-12T03:00:00.000Z,"225","16",20,8,0
2024-12-12T04:00:00.000Z,"223","16",20,8,0
2024-12-12T05:00:00.000Z,"222","16",20,8,0
2024-12-12T06:00:00.000Z,"221","16",20,8,0
2024-12-12T07:00:00.000Z,"219","16",20,8,0
2024-12-12T08:00:00.000Z,"218","16",20,8,0
2024-12-12T09:00:00.000Z,"216","16",20,8,0
2024-12-12T10:00:00.000Z,"215","16",20,8,0
2024-12-12T11:00:00.000Z,"214","16",20,8,0
2024-12-12T12:00:00.000Z,"212","16",20,8,0
2024-12-12T13:00:00.000Z,"208","16",20,8,0
2024-12-12T14:00:00.000Z,"206","16",20,8,0
2024-12-12T15:00:00.000Z,"205","16",20,8,0
2024-12-12T16:00:00.000Z,"203","16",20,8,0
2024-12-12T17:00:00.000Z,"202","16",20,8,0
2024-12-12T18:00:00.000Z,"201","16",20,8,0
2024-12-12T19:00:00.000Z,"200","16",20,8,0
2024-12-12T20:00:00.000Z,"199","16",20,8,0
2024-12-12T21:00:00.000Z,"198","16",20,8,0
2024-12-12T22:00:00.000Z,"197","16",20,8,0
2024-12-12T23:00:00.000Z,"196","16",20,8,0
2024-12-13T00:00:00.000Z,"194","16",20,8,0
2024-12-13T01:00:00.000Z,"192","16",20,8,0
2024-12-13T02:00:00.000Z,"190","16",20,8,0
2024-12-13T03:00:00.000Z,"188","16",20,8,0
2024-12-13T04:00:00.000Z,"185","16",20,8,0
2024-12-13T05:00:00.000Z,"182","16",20,8,0
2024-12-13T06:00:00.000Z,"180","16",20,8,0
2024-12-13T07:00:00.000Z,"178","16",20,8,0
2024-12-13T08:00:00.000Z,"177","16",20,8,0
2024-12-13T09:00:00.000Z,"175","16",20,8,0
2024-12-13T10:00:00.000Z,"174","16",20,8,0
2024-12-13T11:00:00.000Z,"174","16",20,8,0
2024-12-13T12:00:00.000Z,"173","16",20,8,0
2024-12-13T13:00:00.000Z,"172","16",20,8,0
2024-12-13T14:00:00.000Z,"170","16",20,8,0
